Player,Squad,League,Pos,PosGrp,RoleCluster,SuggestedRole,TopFeatures,UMAP_X,UMAP_Y
Jens Odgaard,Bologna,Serie A,"FW,MF",CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.3661675,-5.4163218
Jhonder Cádiz,Famalicão,Primeira Liga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",7.5881443,-7.7696576
Jizz Hornkamp,Heracles Almelo,Eredivisie,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",8.2683735,-6.6513515
Jo,Chaves,Primeira Liga,"FW,MF",CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",7.3489237,-7.712301
Jonas Wind,Wolfsburg,Bundesliga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",7.7746882,-6.133297
Jonatan Braut Brunes,OH Leuven,Belgian Pro League,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.7916813,-7.8561254
Jonathan Afolabi,Kortrijk,Belgian Pro League,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.4457717,-6.6958776
Jonathan Burkardt,Mainz 05,Bundesliga,"FW,MF",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",6.224661,-4.4031625
Jonathan David,Lille,Ligue 1,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",5.6060085,-3.8896883
Jordan Ayew,Crystal Palace,Premier League,"FW,MF",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",7.212951,-3.3056839
Jordan Pefok,Gladbach,Bundesliga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",7.4352455,-6.400656
Joselpho Barnes,Sint-Truiden,Belgian Pro League,"FW,MF",CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",6.3569946,-5.3736196
Joselu,Real Madrid,La Liga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",5.2863946,-6.9216
Joshua Zirkzee,Bologna,Serie A,FW,CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",6.4958587,-3.6006267
José Arnaiz,Osasuna,La Liga,"FW,MF",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",6.6614738,-2.8610086
José Luis Morales,Villarreal,La Liga,"FW,MF",CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",6.288798,-4.6012897
João Carlos,Estoril,Primeira Liga,"FW,DF",CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",4.991499,-5.5353236
João Pedro,Brighton,Premier League,"FW,MF",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",5.6324034,-3.0279384
Juanmi,Cádiz,La Liga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",7.00217,-4.874573
Juanmi Latasa,Getafe,La Liga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",8.084721,-7.584099
Julián Álvarez,Manchester City,Premier League,"MF,FW",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",6.3507843,-2.816126
Jáder Durán,Aston Villa,Premier League,"FW,MF",CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",5.8795967,-4.9530787
Jérémy Le Douaron,Brest,Ligue 1,FW,CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",7.0968103,-3.8482242
Jørgen Strand Larsen,Celta Vigo,La Liga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",5.7654324,-6.481972
Kahveh Zahiroleslam,Sint-Truiden,Belgian Pro League,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.100815,-7.245605
